15,5,2,"(13, 10)"
15,11,"(14, 8)","(6, 7)","(10, 4)","(5, 3)"
15,1,14,8,11,"(9, 0)"
15,13,5,1,"(4, 11)","(10, 2)"
15,6,10,9,13,"(2, 12)","(0, 8)","(11, 7)","(14, 4)","(1, 5)"
15,7,13,9,2,"(1, 5)","(4, 11)"
3,13,8,"(15, 6)","(9, 0)","(1, 5)","(4, 11)"
2,6,10,13,"(12, 15)","(5, 3)","(0, 8)","(14, 4)","(11, 7)"
15,6,12,2,1,"(14, 8)","(4, 11)","(9, 0)"
9,11,13,4,8,12,2,10,0,"(15, 6)","(1, 5)"
5,8,2,"(12, 15)","(13, 10)","(6, 7)","(4, 11)"
1,13,8,4,"(12, 15)","(5, 3)","(9, 0)"
15,5,"(0, 8)","(1, 9)","(13, 10)","(4, 11)","(2, 12)"
15,14,2,5,3,"(10, 4)","(11, 7)"
15,11,6,4,0,8,"(5, 3)"
