15,3,7,2,13,4
4,14,10,7,5,11,8,"(12, 15)","(0, 3)"
14,"(12, 15)","(6, 2)","(11, 3)","(13, 1)"
11,14,9,13,1,8,"(12, 15)","(7, 4)","(0, 10)"
12,11,2,8,4,13,7,3,"(10, 6)","(9, 5)","(14, 0)"
8,9,7,"(12, 15)"
0,5,11,4,14,"(7, 12)","(13, 1)","(6, 2)","(9, 10)"
4,6,10,8,"(12, 15)","(9, 5)","(13, 1)"
9,14,5,"(12, 15)","(0, 3)","(13, 1)","(7, 4)","(6, 2)"
15,0,10,4,12,"(11, 3)","(9, 5)","(1, 2)"
"(12, 15)","(11, 3)","(10, 6)","(1, 2)","(7, 4)","(5, 8)"
11,10,6,"(12, 15)","(7, 4)","(13, 1)"
12,10,3,5,15,9,0,"(4, 11)","(8, 13)","(1, 2)"
12,10,0,15,"(7, 4)","(9, 5)","(1, 2)"
"(12, 15)","(14, 9)","(5, 8)","(0, 10)"
15,7,8,0,9,5,"(11, 3)","(13, 1)","(6, 2)"
6,8,2,11,4,0,"(15, 14)","(9, 5)","(7, 12)"
14,0,1,7,"(9, 5)","(10, 6)"
13,2,15,"(14, 9)","(5, 8)","(0, 3)"
14,9,10,7,15,0,"(6, 2)","(11, 3)","(5, 8)"
14,5,12,9,4,13,11,2,"(0, 10)"
11,5,1,2,6,3,"(15, 14)","(9, 10)"
2,5,4,11,6,"(14, 9)","(7, 12)","(0, 10)","(13, 1)"
14,12,0,"(5, 8)","(10, 6)","(4, 11)"
14,7,"(5, 8)","(0, 10)","(6, 2)"
14,6,7,"(12, 15)","(13, 1)","(0, 3)"
2,0,3,10,"(14, 9)","(8, 13)","(4, 11)"
14,12,11,3,2,"(0, 10)"
14,1,3,15,"(4, 11)","(9, 10)","(8, 13)"
9,10,7,"(14, 0)","(6, 2)","(11, 3)"
